Specimen Collection Date,Race/Ethnicity,New Confirmed Cases,Cumulative Confirmed Cases,Last Updated at
2020/06/15,Asian,0,384,10/20/2020 02:15:01 PM
2020/06/03,Asian,2,357,10/20/2020 02:15:01 PM
2020/06/04,Asian,5,362,10/20/2020 02:15:01 PM
2020/06/05,Asian,2,364,10/20/2020 02:15:01 PM
2020/06/06,Asian,1,365,10/20/2020 02:15:01 PM
2020/06/08,Asian,5,370,10/20/2020 02:15:01 PM
2020/05/16,Asian,4,306,10/20/2020 02:15:01 PM
2020/05/17,Asian,1,307,10/20/2020 02:15:01 PM
2020/05/18,Asian,4,311,10/20/2020 02:15:01 PM
2020/06/09,Asian,4,374,10/20/2020 02:15:01 PM
2020/05/19,Asian,0,311,10/20/2020 02:15:01 PM
2020/06/10,Asian,3,377,10/20/2020 02:15:01 PM
2020/06/11,Asian,2,379,10/20/2020 02:15:01 PM
2020/06/12,Asian,1,380,10/20/2020 02:15:01 PM
2020/06/13,Asian,3,383,10/20/2020 02:15:01 PM
2020/06/14,Asian,1,384,10/20/2020 02:15:01 PM
2020/06/16,Asian,3,387,10/20/2020 02:15:01 PM
2020/06/17,Asian,2,389,10/20/2020 02:15:01 PM
2020/06/18,Asian,5,394,10/20/2020 02:15:01 PM
2020/03/05,Unknown,4,5,08/25/2020 03:18:34 PM
2020/03/06,Unknown,0,5,08/25/2020 03:18:34 PM
2020/04/21,Asian,5,214,10/20/2020 02:15:01 PM
2020/04/22,Asian,4,218,10/20/2020 02:15:01 PM
2020/04/23,Asian,6,224,10/20/2020 02:15:01 PM
2020/05/15,Asian,4,302,10/20/2020 02:15:01 PM
2020/06/19,Asian,2,396,10/20/2020 02:15:01 PM
2020/06/20,Asian,7,403,10/20/2020 02:15:01 PM
2020/06/21,Asian,3,406,10/20/2020 02:15:01 PM
2020/06/22,Asian,7,413,10/20/2020 02:15:01 PM
2020/06/23,Asian,11,424,10/20/2020 02:15:01 PM
2020/06/24,Asian,6,430,10/20/2020 02:15:01 PM
2020/06/25,Asian,9,439,10/20/2020 02:15:01 PM
2020/06/26,Asian,7,446,10/20/2020 02:15:01 PM
2020/06/27,Asian,2,448,10/20/2020 02:15:01 PM
2020/06/28,Asian,5,453,10/20/2020 02:15:01 PM
2020/06/29,Asian,11,464,10/20/2020 02:15:01 PM
2020/06/30,Asian,15,479,10/20/2020 02:15:01 PM
2020/07/01,Asian,7,486,10/20/2020 02:15:01 PM
2020/07/02,Asian,7,493,10/20/2020 02:15:01 PM
2020/07/03,Asian,7,500,10/20/2020 02:15:01 PM
2020/07/04,Asian,0,500,10/20/2020 02:15:01 PM
2020/07/05,Asian,6,506,10/20/2020 02:15:01 PM
2020/07/06,Asian,12,518,10/20/2020 02:15:01 PM
2020/07/07,Asian,7,525,10/20/2020 02:15:01 PM
2020/07/08,Asian,9,534,10/20/2020 02:15:01 PM
2020/07/09,Asian,10,544,10/20/2020 02:15:01 PM
2020/07/10,Asian,6,550,10/20/2020 02:15:01 PM
2020/07/11,Asian,5,555,10/20/2020 02:15:01 PM
2020/07/12,Asian,8,563,10/20/2020 02:15:01 PM
2020/07/13,Asian,8,571,10/20/2020 02:15:01 PM
2020/07/14,Asian,16,587,10/20/2020 02:15:01 PM
2020/07/15,Asian,13,600,10/20/2020 02:15:01 PM
2020/07/16,Asian,8,608,10/20/2020 02:15:01 PM
2020/07/17,Asian,10,618,10/20/2020 02:15:01 PM
2020/07/18,Asian,6,624,10/20/2020 02:15:01 PM
2020/07/19,Asian,4,628,10/20/2020 02:15:01 PM
2020/07/20,Asian,11,639,10/20/2020 02:15:01 PM
2020/07/21,Asian,12,651,10/20/2020 02:15:01 PM
2020/07/22,Asian,11,662,10/20/2020 02:15:01 PM
2020/07/23,Asian,10,672,10/20/2020 02:15:01 PM
2020/07/24,Asian,9,681,10/20/2020 02:15:01 PM
2020/07/25,Asian,5,686,10/20/2020 02:15:01 PM
2020/07/26,Asian,5,691,10/20/2020 02:15:01 PM
2020/07/27,Asian,8,699,10/20/2020 02:15:01 PM
2020/07/28,Asian,4,703,10/20/2020 02:15:01 PM
2020/07/29,Asian,15,718,10/20/2020 02:15:01 PM
2020/07/30,Asian,17,735,10/20/2020 02:15:01 PM
2020/07/31,Asian,20,755,10/20/2020 02:15:01 PM
2020/08/01,Asian,11,766,10/20/2020 02:15:01 PM
2020/08/02,Asian,7,773,10/20/2020 02:15:01 PM
2020/08/03,Asian,7,780,10/20/2020 02:15:01 PM
2020/08/04,Asian,7,787,10/20/2020 02:15:01 PM
2020/08/05,Asian,13,800,10/20/2020 02:15:01 PM
2020/08/06,Asian,9,809,10/20/2020 02:15:01 PM
2020/08/07,Asian,11,820,10/20/2020 02:15:01 PM
2020/08/08,Asian,4,824,10/20/2020 02:15:01 PM
2020/08/09,Asian,3,827,10/20/2020 02:15:01 PM
2020/08/10,Asian,12,839,10/20/2020 02:15:01 PM
2020/08/11,Asian,7,846,10/20/2020 02:15:01 PM
2020/08/12,Asian,10,856,10/20/2020 02:15:01 PM
2020/08/13,Asian,8,864,10/20/2020 02:15:01 PM
2020/08/14,Asian,23,887,10/20/2020 02:15:01 PM
2020/08/15,Asian,16,903,10/20/2020 02:15:01 PM
2020/08/16,Asian,8,911,10/20/2020 02:15:01 PM
2020/08/17,Asian,8,919,10/20/2020 02:15:01 PM
2020/08/18,Asian,13,932,10/20/2020 02:15:01 PM
2020/08/19,Asian,12,944,10/20/2020 02:15:01 PM
2020/08/20,Asian,12,956,10/20/2020 02:15:01 PM
2020/08/21,Asian,15,971,10/20/2020 02:15:01 PM
2020/08/22,Asian,10,981,10/20/2020 02:15:01 PM
2020/08/23,Asian,8,989,10/20/2020 02:15:01 PM
2020/08/24,Asian,11,1000,10/20/2020 02:15:01 PM
2020/08/25,Asian,10,1010,10/20/2020 02:15:01 PM
2020/08/26,Asian,17,1027,10/20/2020 02:15:01 PM
2020/08/27,Asian,17,1044,10/20/2020 02:15:01 PM
2020/08/28,Asian,9,1053,10/20/2020 02:15:01 PM
2020/08/29,Asian,8,1061,10/20/2020 02:15:01 PM
2020/08/30,Asian,4,1065,10/20/2020 02:15:01 PM
2020/09/01,Asian,12,1093,10/20/2020 02:15:01 PM
2020/09/02,Asian,27,1120,10/20/2020 02:15:01 PM
2020/09/03,Asian,17,1137,10/20/2020 02:15:01 PM
2020/09/04,Asian,8,1145,10/20/2020 02:15:01 PM
2020/09/05,Asian,8,1153,10/20/2020 02:15:01 PM
2020/09/06,Asian,6,1159,10/20/2020 02:15:01 PM
2020/09/07,Asian,11,1170,10/20/2020 02:15:01 PM
2020/09/08,Asian,13,1183,10/20/2020 02:15:01 PM
2020/09/09,Asian,22,1205,10/20/2020 02:15:01 PM
2020/09/10,Asian,11,1216,10/20/2020 02:15:01 PM
2020/09/11,Asian,31,1247,10/20/2020 02:15:01 PM
2020/09/12,Asian,7,1254,10/20/2020 02:15:01 PM
2020/09/13,Asian,3,1257,10/20/2020 02:15:01 PM
2020/09/14,Asian,14,1271,10/20/2020 02:15:01 PM
2020/09/15,Asian,17,1288,10/20/2020 02:15:01 PM
2020/09/16,Asian,6,1294,10/20/2020 02:15:01 PM
2020/09/17,Asian,7,1301,10/20/2020 02:15:01 PM
2020/09/18,Asian,12,1313,10/20/2020 02:15:01 PM
2020/09/19,Asian,6,1319,10/20/2020 02:15:01 PM
2020/09/20,Asian,5,1324,10/20/2020 02:15:01 PM
2020/09/21,Asian,6,1330,10/20/2020 02:15:01 PM
2020/09/22,Asian,10,1340,10/20/2020 02:15:01 PM
2020/09/23,Asian,8,1348,10/20/2020 02:15:01 PM
2020/09/24,Asian,11,1359,10/20/2020 02:15:01 PM
2020/09/26,Asian,2,1375,10/20/2020 02:15:01 PM
2020/09/27,Asian,5,1380,10/20/2020 02:15:01 PM
2020/09/28,Asian,9,1389,10/20/2020 02:15:01 PM
2020/09/29,Asian,10,1399,10/20/2020 02:15:01 PM
2020/09/30,Asian,13,1412,10/20/2020 02:15:01 PM
2020/10/01,Asian,4,1416,10/20/2020 02:15:01 PM
2020/10/02,Asian,6,1422,10/20/2020 02:15:01 PM
2020/10/03,Asian,4,1426,10/20/2020 02:15:01 PM
2020/10/04,Asian,3,1429,10/20/2020 02:15:01 PM
2020/10/05,Asian,3,1432,10/20/2020 02:15:01 PM
2020/10/06,Asian,6,1438,10/20/2020 02:15:01 PM
2020/10/07,Asian,4,1442,10/20/2020 02:15:01 PM
2020/10/08,Asian,1,1443,10/20/2020 02:15:01 PM
2020/10/09,Asian,5,1448,10/20/2020 02:15:01 PM
2020/10/10,Asian,3,1451,10/20/2020 02:15:01 PM
2020/10/11,Asian,2,1453,10/20/2020 02:15:01 PM
2020/10/12,Asian,4,1457,10/20/2020 02:15:01 PM
2020/10/13,Asian,3,1460,10/20/2020 02:15:01 PM
2020/10/14,Asian,4,1464,10/20/2020 02:15:01 PM
2020/10/15,Asian,4,1468,10/20/2020 02:15:01 PM
2020/10/17,Asian,5,1475,10/20/2020 02:15:01 PM
2020/10/18,Asian,0,1475,10/20/2020 02:15:01 PM
2020/10/19,Asian,0,1475,10/20/2020 02:15:01 PM
2020/04/01,Native Hawaiian or Other Pacific Islander,3,7,10/20/2020 02:15:01 PM
2020/04/02,Native Hawaiian or Other Pacific Islander,0,7,10/20/2020 02:15:01 PM
